State_Abrvtn,Pltfrm,Aplctn_Sbmtd,Indvdl_Aplctn_Sbmtd,QHP_Elgbl,FA_Elgbl,MC_Elgbl,Cnsmr,New_Cnsmr,Tot_Renrl,Actv_Renrl,Auto_Renrl,Actv_Renrl_Sw,Actv_Renrl_Nsw,Wk_1,Wk_2,Wk_3,Wk_4,Wk_5,Wk_6,Fnl_Snpsht,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_Yes,Hspnc_No,Unk_Ethncty,Rrl,Non_Rrl,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_NFA,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_Other,Dntl_Cnsmr,Dntl_Age_0_17,Dntl_Age_18_25,Dntl_Age_26_34,Dntl_Age_35_44,Dntl_Age_45_54,Dntl_Age_55_64,Dntl_Age_GE65,BHP_Enrlmnt ,BHP_New_Enrl,BHP_Renrl ,BHP_Age_0_17,BHP_Age_18_25,BHP_Age_26_34,BHP_Age_35_44,BHP_Age_45_54,BHP_Age_55,BHP_Male,BHP_Female
AK,HC.gov,"17,121","25,879","21,331","16,353","5,055","18,184","3,927","14,257","10,117","4,140","2,909","7,208","1,595","1,641","1,527","1,012","1,761","10,596",52,$697 ,$197 ,"14,571","3,600",176,"1,338","1,302",784,"14,426",$631 ,$91 ,"2,630","1,141","3,269","3,287","3,077","4,513",267,"8,542","9,642",706,"1,337",68,181,"11,687",265,757,"3,183",870,"15,128","2,186","9,077","9,107",+,"8,461","3,099","6,624",+,"2,300","1,873","3,759","3,496","2,763","3,167",826,"3,141",177,193,815,685,539,694,38,+,+,+,+,+,+,+,+,+,+,+
AL,HC.gov,"154,415","214,422","199,564","165,219","15,135","169,119","36,430","132,689","94,805","37,884","13,453","81,352","20,642","15,844","13,299","8,375","18,112","92,127",720,$729 ,$122 ,"153,238","117,145","14,387","33,705","68,513",540,"152,933",$672 ,$73 ,"3,861","18,222","31,191","31,863","35,650","47,340",992,"69,926","99,193",820,"9,618",45,"29,923","98,653","1,705","3,065","25,290","4,708","147,222","17,189","47,353","121,766","2,146","21,997","137,734","7,242",+,"3,975","73,286","38,699","21,008","11,778","12,892","7,481","55,098",356,"6,100","12,048","11,526","11,389","13,261",418,+,+,+,+,+,+,+,+,+,+,+
AR,HC.gov,"65,348","96,678","78,453","64,028","20,374","66,094","13,645","52,449","30,084","22,365","8,808","21,276","5,296","4,743","4,668","3,046","5,871","42,279",191,$546 ,$187 ,"56,618","35,936","8,438","16,031","10,815",652,"56,339",$420 ,$135 ,"5,953","5,323","9,772","10,374","12,520","21,457",695,"29,023","37,071",447,"2,318",242,"3,949","39,943",643,"1,139","17,413","2,678","55,080","8,336","25,225","40,869",+,"18,289","46,112","1,693",+,"4,412","12,589","19,702","12,932","7,492","6,976","1,991","9,074","1,186",688,"1,527","1,642","1,532","2,352",147,+,+,+,+,+,+,+,+,+,+,+
AZ,HC.gov,"129,480","204,138","183,405","136,449","25,131","154,504","31,137","123,367","79,908","43,459","34,302","45,606","12,044","11,459","11,565","7,378","15,591","96,228",239,$581 ,$219 ,"120,169","65,729","17,589","27,279","19,973",888,"119,693",$466 ,$130 ,"22,959","12,124","18,804","20,483","27,386","50,900","1,848","70,479","84,025",820,"11,481",157,"2,901","88,185","4,066","4,136","42,758","24,769","108,823","20,912","15,016","139,488",897,"60,671","88,493","4,443",+,"23,735","21,642","34,615","31,666","17,784","19,323","5,739","22,051","2,843","1,572","3,851","3,764","3,776","5,969",276,+,+,+,+,+,+,+,+,+,+,+
CA,SBM,"2,967,704","5,848,908","2,212,862","1,722,290",NR,"1,625,546","249,279","1,376,267","438,515","937,752",NR,NR,"987,555","435,961","11,156","15,679","-15,686","21,833","169,048",$571 ,$187 ,"1,416,420","686,052",NR,NR,NR,NR,"1,415,206",$443 ,$146 ,"110,069","150,707","289,702","252,771","329,938","477,816","14,543","783,224","841,584","3,681","318,670","1,547","33,391","449,586",NR,"32,357","429,359","356,955",NR,NR,NR,NR,"22,442","495,299","899,926","149,744","58,135",NR,"259,554","466,074","250,012","214,494","223,528","211,884","262,275","12,188","22,741","62,911","47,009","49,645","65,163","2,618",+,+,+,+,+,+,+,+,+,+,+
CO,SBM,"149,185","275,645","256,789","128,499",NR,"179,607","30,733","148,874","67,130","81,744",NR,NR,"8,879","10,905","11,339","11,534","104,478","6,899","25,573",$459 ,$228 ,"123,801","50,477",NR,NR,NR,NR,"122,518",$336 ,$152 ,"18,337","12,721","31,825","29,522","30,194","48,199","8,809","86,325","93,282",NR,NR,NR,NR,NR,NR,+,NR,NR,NR,NR,NR,NR,"3,105","92,485","70,176","13,841",+,NR,"15,824","33,063","25,690","23,892","31,492","49,646","46,043","4,550","2,662","11,703","9,008","6,992","8,904","2,224",+,+,+,+,+,+,+,+,+,+,+
CT,SBM,"216,699","377,388","117,157","81,224","296,412","104,946","19,056","85,890","22,511","63,379",NR,NR,"6,961","6,644","40,632","35,810","2,591","3,934","8,374",$692 ,$241 ,"72,624","43,882",NR,NR,NR,NR,"72,537",$652 ,$87 ,"7,192","8,938","15,423","14,011","20,654","36,444","2,284","48,766","56,180",74,"5,062",39,"4,204","51,693",NR,"1,426","31,627","10,821",NR,NR,NR,NR,"2,005","45,732","49,097","8,112",+,NR,"7,700","17,403","14,042","11,377","17,812","36,612","4,060",246,345,885,693,727,"1,029",135,+,+,+,+,+,+,+,+,+,+,+
DC,SBM,"19,713","24,893","18,746","1,173","6,137","16,947","3,215","13,732",933,"12,799",NR,NR,"16,612",-61,-20,28,59,88,241,$541 ,$508 ,"1,196",396,NR,NR,NR,NR,"1,193",$435 ,$206 ,"1,728",981,"5,165","3,800","2,610","2,459",204,"8,247","8,700",4,"1,065",9,"3,029","6,924",NR,212,"5,452",252,NR,NR,NR,NR,788,"4,845","4,252","4,080","2,982",NR,65,105,458,378,341,"15,600","4,276",303,199,"1,369","1,105",631,497,172,+,+,+,+,+,+,+,+,+,+,+
DE,HC.gov,"22,267","33,515","29,704","22,655","4,624","25,320","4,961","20,359","12,973","7,386","4,022","8,951","2,463","1,976","1,963","1,346","2,615","14,897",60,$675 ,$211 ,"20,546","6,444",591,"3,382","2,452",19,"20,532",$572 ,$119 ,"2,992","1,885","3,717","3,805","4,508","8,045",368,"11,408","13,912",47,"2,238",12,"2,381","14,036",424,575,"5,607","1,519","21,039","2,762","6,201","19,119",197,"7,956","7,087","9,359",721,"2,994","2,905","5,478","4,790","3,620","4,449","1,084","3,761",228,280,717,675,726,"1,059",76,+,+,+,+,+,+,+,+,+,+,+
FL,HC.gov,"1,711,740","2,439,280","2,372,913","2,133,021","67,366","2,120,350","511,082","1,609,268","1,247,066","362,202","746,200","500,866","235,780","243,245","227,661","164,675","247,839","996,224","4,926",$599 ,$104 ,"1,991,962","1,333,455","41,805","214,242","1,076,206","1,202","1,990,718",$527 ,$73 ,"162,749","246,078","299,245","359,959","461,964","546,073","44,282","958,248","1,162,102","1,811","60,891",875,"127,057","618,957","38,926","24,937","1,246,896","448,381","776,977","894,992","64,041","2,056,309","4,766","679,527","1,371,697","53,131","11,229","56,911","1,300,423","337,400","182,461","99,511","98,039","45,605","197,876","13,710","20,359","34,692","36,929","41,046","48,365","2,775",+,+,+,+,+,+,+,+,+,+,+
GA,HC.gov,"429,937","640,232","605,734","492,611","35,394","517,113","138,008","379,105","287,094","92,011","134,717","152,377","59,448","56,544","49,937","32,161","56,168","260,383","2,472",$583 ,$136 ,"453,560","328,513","19,586","69,587","238,903",437,"452,914",$511 ,$81 ,"37,893","61,543","80,469","89,187","112,492","127,144","8,385","226,598","290,515",582,"67,984",200,"81,815","161,935","7,184","8,169","189,244","38,507","366,827","111,779","70,154","446,959","3,719","117,377","357,441","37,508","1,068","32,132","268,516","89,631","43,797","31,787","30,703","20,547","65,064","3,836","6,801","12,925","12,653","13,673","14,379",797,+,+,+,+,+,+,+,+,+,+,+
HI,HC.gov,"23,561","32,161","26,492","20,535","6,790","22,903","4,981","17,922","11,173","6,749","3,012","8,161","2,073","1,935","1,788","1,315","2,335","13,312",145,$624 ,$191 ,"18,335","8,143",430,"2,032","5,613",68,"18,277",$543 ,$114 ,"1,124","1,421","3,159","4,506","5,110","7,169",414,"9,889","13,014",60,"6,814",973,111,"6,870","2,789","2,839","2,447","1,119","20,045","1,739","7,672","15,231",270,"6,019","8,724","6,040","1,850","2,122","3,290","5,092","3,563","1,803","2,316","4,717","7,765",480,388,"1,176","1,473","1,684","2,438",126,+,+,+,+,+,+,+,+,+,+,+
